성질명,이전 수출 건수,이전 수출 금액,이후 수출 건수,이후 수출 금액,차액,차액 단위
" 가죽, 고무 및 신발류",151,2174,119,1312,-862,-1백만원
 귀금속 및 보석류,1,560,1,1596,1036,1백만원
 기 타,773,22866,764,27280,4414,4백만원
 기계류와 정밀기기,2122,94755,1899,94947,192,0원
 기타 비금속 광물제품,31,679,26,282,-397,-1백만원
 기타 섬유제품,98,2267,125,2580,313,0원
 목제품,27,119,24,146,27,0원
 섬유사,184,2637,186,2430,-207,-1백만원
 섬유원료,0,1,0,5,4,0원
 수송장비,722,51180,545,21597,-29583,-30백만원
 식료 및 직접소비재,344,27978,453,38674,10696,10백만원
" 완구, 운동용구 및 악기",14,350,13,328,-22,-1백만원
 원료 및 연료,45,665,41,721,56,0원
 의 류,72,154,60,113,-41,-1백만원
" 전기, 전자제품",2546,83162,2620,99461,16299,16백만원
 직 물,31,524,30,510,-14,-1백만원
 철강제품,756,7945,698,9719,1774,1백만원
 화공품,1104,33986,1222,52059,18073,18백만원
